step	Energy 					Momentum
410  1.0037450172412843e+00  1.2562144568488651e+00
411  1.0037450172412838e+00  1.2572140211931868e+00
412  1.0037450172412883e+00  1.2535405176020236e+00
413  1.0037450172412787e+00  1.2528784034819447e+00
414  1.0037450172412836e+00  1.2542044269741992e+00
415  1.0037450172412872e+00  1.2557074203104832e+00
416  1.0037450172412836e+00  1.2556304384234911e+00
417  1.0037450172412830e+00  1.2543410354688516e+00
418  1.0037450172412883e+00  1.2521932185051026e+00
419  1.0037450172412863e+00  1.2532974007855440e+00
420  1.0037450172412872e+00  1.2518133428919203e+00
421  1.0037450172412836e+00  1.2540467435664722e+00
422  1.0037450172412865e+00  1.2542348352643768e+00
423  1.0037450172412810e+00  1.2559182838073364e+00
424  1.0037450172412850e+00  1.2572688402848711e+00
425  1.0037450172412821e+00  1.2576653604694972e+00
426  1.0037450172412872e+00  1.2561824210390016e+00
427  1.0037450172412863e+00  1.2569183301205333e+00
428  1.0037450172412836e+00  1.2547114886232278e+00
429  1.0037450172412801e+00  1.2576969059557896e+00
430  1.0037450172412818e+00  1.2570678973488021e+00
431  1.0037450172412843e+00  1.2581819925390696e+00
432  1.0037450172412858e+00  1.2616000581516633e+00
433  1.0037450172412881e+00  1.2593296627975030e+00
434  1.0037450172412827e+00  1.2592284019345834e+00
435  1.0037450172412845e+00  1.2603897253209932e+00
436  1.0037450172412810e+00  1.2588949956675617e+00
437  1.0037450172412843e+00  1.2585334652595479e+00
438  1.0037450172412865e+00  1.2600289398064022e+00
439  1.0037450172412843e+00  1.2604791302788081e+00
440  1.0037450172412847e+00  1.2592213689079483e+00
441  1.0037450172412863e+00  1.2586287403003771e+00
442  1.0037450172412874e+00  1.2590117538133896e+00
443  1.0037450172412856e+00  1.2566900906251859e+00
444  1.0037450172412865e+00  1.2588232248161706e+00
445  1.0037450172412847e+00  1.2593692032099770e+00
446  1.0037450172412867e+00  1.2573087868844224e+00
447  1.0037450172412890e+00  1.2598240021489795e+00
448  1.0037450172412825e+00  1.2609072629505043e+00
